product_id,product_category,region,base_price,competitor_price,inventory,demand_score,sales_last_7_days,customer_rating,discount_percent,season,promotion,page_views,price_elasticity,recommended_price
P0001,Beauty,East,3107.93,1719.13,243,54.7,55,2.6,39.0,Winter,0,7754,0.79,3007.88
P0002,Sports,East,7240.61,8290.75,306,59.0,257,4.1,9.3,Summer,1,6204,0.51,7756.72
P0003,Home & Kitchen,South,9549.52,6557.05,396,25.2,156,3.1,30.9,Summer,0,306,1.59,7988.1
P0004,Sports,West,7269.66,3707.86,14,78.4,53,2.7,3.5,Festival,0,6562,1.31,8100.85
P0005,Sports,North,8656.23,9198.39,461,98.6,187,3.3,15.3,Regular,0,3041,1.34,9071.85
P0006,Fashion,West,220.62,313.2,373,95.1,150,3.1,20.3,Summer,1,1467,0.67,246.41
P0007,Home & Kitchen,North,7232.21,2519.45,237,27.7,264,3.9,10.7,Regular,0,7810,1.41,5699.41
P0008,Home & Kitchen,East,8329.96,6030.33,199,88.8,250,3.4,21.2,Regular,1,8015,1.6,8265.11
P0009,Home & Kitchen,North,597.48,3807.92,399,73.4,298,4.9,35.3,Regular,0,4164,0.91,776.72
P0010,Sports,East,8741.66,6479.1,16,50.8,211,4.9,37.8,Regular,1,8351,1.66,8328.0
P0011,Beauty,West,2715.6,428.82,398,58.7,25,3.6,4.0,Winter,1,2602,0.89,2036.7
P0012,Home & Kitchen,East,6719.86,1381.86,413,86.5,294,4.5,10.9,Winter,0,9299,1.59,5823.99
P0013,Books,West,8043.48,1491.63,181,53.2,152,2.5,39.2,Festival,1,5457,0.36,6812.73
P0014,Sports,South,6694.11,2133.41,181,43.6,24,3.9,10.8,Winter,0,4783,1.24,5688.62
P0015,Fashion,South,1104.39,4920.3,221,54.4,252,4.4,27.7,Summer,1,2092,1.95,1435.71
P0016,Beauty,South,6043.95,7941.97,15,62.1,60,3.0,10.1,Winter,1,2231,1.97,7232.06
P0017,Books,East,5585.92,9525.16,450,27.0,66,2.7,14.3,Summer,0,4542,0.78,6165.86
P0018,Books,South,9023.15,8801.04,122,91.1,53,2.9,7.7,Summer,1,3608,1.05,9763.49
P0019,Fashion,North,4161.55,2211.88,168,70.7,106,3.6,34.3,Regular,0,9863,0.41,3837.14
P0020,Beauty,West,3346.59,4732.67,43,67.0,96,3.8,35.3,Festival,1,3708,1.78,4261.47
P0021,Sports,West,7548.54,2237.93,57,19.0,176,3.5,11.9,Regular,1,2744,1.27,6232.37
P0022,Electronics,North,4244.22,2909.35,222,64.4,39,3.6,32.9,Regular,0,3934,0.95,3920.45
P0023,Beauty,East,6531.74,5376.6,210,20.9,168,3.7,14.3,Winter,0,4830,0.49,6200.62
P0024,Fashion,East,6535.21,882.89,491,17.1,42,4.4,4.0,Winter,0,3334,1.91,4901.41
P0025,Books,West,8902.78,2431.56,316,57.5,104,2.8,30.3,Summer,1,6002,1.2,7730.57
P0026,Sports,South,6067.19,9833.1,364,46.3,204,4.4,23.9,Winter,1,7567,0.78,6591.77
P0027,Beauty,East,5121.11,4990.32,389,63.0,8,4.2,11.0,Winter,0,6212,0.9,5076.11
P0028,Electronics,East,1560.94,4776.39,60,18.0,282,4.4,10.1,Monsoon,1,5156,0.76,2029.22
P0029,Electronics,North,1334.23,330.33,122,48.8,43,4.3,39.0,Summer,0,2216,1.32,1119.65
P0030,Home & Kitchen,North,1712.35,2733.17,392,25.7,110,3.7,34.5,Summer,0,4447,1.88,1854.4
P0031,Home & Kitchen,South,1884.12,9120.14,257,98.8,210,3.0,32.4,Monsoon,0,7718,1.76,2449.36
P0032,Fashion,East,6451.2,1878.97,290,60.5,237,3.8,5.1,Summer,0,3442,1.08,5603.1
P0033,Beauty,East,7461.62,4464.09,272,71.9,49,4.9,30.2,Festival,0,3761,1.71,7774.24
P0034,Beauty,North,5393.92,327.89,295,39.3,115,4.0,8.6,Festival,0,5929,1.02,4626.89
P0035,Books,East,8324.37,5116.42,337,18.5,155,2.5,39.1,Monsoon,0,1636,0.73,6923.09
P0036,Books,West,9914.38,396.94,184,97.8,137,2.6,2.1,Winter,1,9456,1.97,8547.22
P0037,Books,North,8236.12,8638.37,419,35.8,167,5.0,14.1,Festival,0,7188,0.82,8500.75
P0038,Home & Kitchen,South,7009.85,8692.49,362,48.1,199,2.7,17.1,Monsoon,0,7712,0.85,6941.22
P0039,Beauty,North,5418.43,8309.5,239,68.5,71,2.6,33.0,Festival,0,7454,1.98,6595.73
P0040,Beauty,East,4598.76,3104.32,347,12.2,7,3.4,30.6,Regular,0,9887,0.53,3977.27
P0041,Electronics,South,1027.05,8820.29,200,82.9,200,4.9,15.0,Monsoon,0,9592,1.59,1335.16
P0042,Home & Kitchen,North,4113.81,5783.74,312,58.3,67,3.3,22.6,Summer,0,8606,1.89,4645.4
P0043,Sports,West,9119.32,4037.7,84,35.0,138,3.5,33.4,Festival,0,3989,1.17,8613.17
P0044,Home & Kitchen,West,8118.62,6633.41,139,15.5,242,4.1,0.7,Summer,1,3249,0.3,7161.77
P0045,Sports,North,2317.3,307.36,26,24.6,213,2.6,32.1,Monsoon,0,9868,0.94,1869.68
P0046,Electronics,West,4772.76,1655.36,481,90.6,181,4.7,37.9,Festival,0,9887,0.49,4598.34
P0047,Fashion,West,8203.89,7840.47,335,71.7,254,3.8,1.3,Summer,0,6991,1.01,8721.54
P0048,Beauty,West,860.37,2699.75,444,32.5,101,3.7,1.8,Winter,0,1031,1.64,1118.48
P0049,Electronics,South,3996.45,6351.45,229,15.9,87,4.7,13.8,Winter,1,3602,1.05,4306.47
P0050,Beauty,West,8548.04,4154.26,62,72.2,185,4.9,3.5,Regular,1,971,1.03,8124.96
P0051,Books,West,4158.2,9001.6,97,61.5,91,3.6,19.2,Monsoon,0,3708,1.25,5405.66
P0052,Fashion,West,960.62,10008.93,196,46.4,248,2.9,29.1,Summer,0,4045,1.29,1248.81
P0053,Fashion,South,5516.84,9298.39,107,42.7,214,4.5,22.7,Regular,1,7114,1.76,6150.18
P0054,Electronics,North,8645.08,2972.8,400,29.5,249,3.5,7.9,Monsoon,0,5102,0.82,6483.81
P0055,Fashion,East,5984.8,2183.76,11,70.3,126,4.8,26.2,Winter,0,5456,1.7,6126.67
P0056,Sports,West,2417.54,5076.17,132,97.4,4,4.9,27.4,Summer,0,4327,1.26,3142.8
P0057,Fashion,North,3965.55,255.69,59,25.8,88,2.8,37.3,Festival,1,1524,0.81,3475.97
P0058,Beauty,West,4611.21,446.35,235,63.7,151,4.9,5.9,Winter,1,7148,0.8,3749.52
P0059,Beauty,South,5876.81,5889.96,366,48.2,176,3.4,27.7,Festival,0,3817,0.91,6173.92
P0060,Beauty,North,7641.64,5551.04,66,50.2,211,4.1,36.5,Festival,0,6769,1.36,8719.63
P0061,Beauty,South,1168.96,10444.09,244,32.9,259,2.6,20.1,Summer,0,8644,0.69,1519.65
P0062,Sports,West,8918.59,2263.01,94,84.3,91,4.7,14.5,Summer,1,9389,1.86,7868.39
P0063,Home & Kitchen,West,320.64,2843.63,236,53.7,259,4.1,6.8,Festival,0,662,1.28,416.83
P0064,Books,South,3826.51,1351.74,461,58.9,191,4.1,34.7,Regular,1,7336,1.86,2961.95
P0065,Electronics,East,468.72,9649.04,237,37.4,81,4.8,15.8,Festival,0,9855,0.38,609.34
P0066,Beauty,South,4051.15,8207.01,358,26.4,138,3.8,37.0,Festival,1,3067,0.88,4906.37
P0067,Fashion,West,5352.96,8666.54,497,17.7,126,3.5,33.9,Summer,0,4838,0.34,5674.4
P0068,Beauty,South,5214.48,9496.52,337,74.3,230,4.7,15.1,Monsoon,0,9976,0.76,6778.82
P0069,Fashion,East,1823.16,5596.97,443,27.7,20,4.4,23.0,Winter,1,7152,1.77,2370.11
P0070,Books,South,6528.26,4836.31,379,72.1,49,4.9,1.1,Summer,1,3251,0.36,5815.02
P0071,Books,East,638.83,3589.64,296,45.1,135,4.9,10.5,Regular,0,802,1.04,830.48
P0072,Books,East,7666.69,6260.69,349,47.4,29,3.5,28.4,Winter,0,7606,0.5,7583.53
P0073,Fashion,South,9477.12,4868.15,156,52.2,48,3.6,27.1,Summer,0,1391,1.01,8630.91
P0074,Beauty,South,3529.73,4840.16,432,43.1,269,3.1,14.1,Summer,0,8746,1.73,3699.11
P0075,Books,North,5268.95,9849.1,149,19.1,3,4.2,32.3,Monsoon,1,7064,1.36,6005.61
P0076,Sports,West,3913.32,10335.21,134,37.9,258,3.4,9.4,Regular,0,6805,1.55,5087.32
P0077,Fashion,East,265.76,8399.72,145,69.7,16,4.5,18.5,Regular,1,3532,0.89,345.49
P0078,Fashion,North,3981.57,7989.74,419,69.9,94,2.8,18.9,Summer,0,7778,1.91,5079.41
P0079,Beauty,South,7958.86,7203.36,97,35.8,134,2.8,13.6,Monsoon,1,5615,1.51,7206.26
P0080,Fashion,West,6040.69,1893.89,118,51.4,133,3.0,38.2,Summer,0,7661,1.02,5179.23
P0081,Fashion,North,1192.35,789.97,288,27.4,32,2.7,27.9,Festival,0,7980,1.02,1164.86
P0082,Books,East,8501.97,7308.3,448,28.9,269,4.1,21.6,Festival,0,6567,1.86,8217.52
P0083,Beauty,North,5404.64,7701.07,415,12.1,25,2.9,20.4,Monsoon,1,2472,1.28,5083.82
P0084,Books,East,8448.89,664.76,147,90.7,59,2.9,6.4,Summer,0,8915,1.5,7376.66
P0085,Books,South,5886.17,9757.49,227,29.0,213,2.5,14.9,Monsoon,0,6035,1.01,6591.32
P0086,Beauty,West,5684.95,1120.57,236,30.5,156,4.5,26.9,Summer,1,6997,0.68,4405.43
P0087,Electronics,West,1231.54,3130.49,467,35.2,276,4.5,37.0,Summer,1,8834,1.53,1561.72
P0088,Books,West,1840.13,7119.06,37,21.5,210,2.9,32.7,Festival,1,7685,1.33,2392.17
P0089,Sports,South,9725.85,1933.09,280,67.5,57,4.3,12.0,Winter,0,3718,1.15,8568.17
P0090,Sports,East,2439.17,751.89,174,16.8,185,3.6,17.4,Regular,0,6512,1.36,1875.26
P0091,Fashion,South,9779.03,3597.43,144,22.1,54,3.1,3.3,Regular,1,3188,0.65,7334.27
P0092,Sports,West,5412.74,8084.83,361,68.0,209,4.1,4.1,Monsoon,0,4559,1.65,6055.85
P0093,Fashion,South,1530.73,4449.16,205,40.6,293,2.9,18.8,Regular,0,2550,1.91,1989.95
P0094,Electronics,South,1173.16,6918.68,27,73.7,252,4.4,21.2,Festival,0,2843,1.81,1525.11
P0095,Beauty,South,2246.87,6161.67,460,60.2,112,2.6,10.6,Winter,1,4343,0.85,2920.93
P0096,Beauty,East,9271.25,409.29,228,33.0,6,4.9,25.7,Summer,0,9954,0.99,7077.84
P0097,Beauty,North,4258.67,10381.73,372,68.6,191,2.7,28.1,Summer,1,5449,1.67,5536.27
P0098,Sports,North,4075.26,607.54,274,20.5,279,3.9,12.0,Festival,0,349,1.31,3404.26
P0099,Electronics,South,3269.42,10167.72,351,58.3,13,4.8,30.3,Regular,1,1956,1.23,4250.25
P0100,Sports,North,1641.21,5854.6,157,49.3,44,2.5,8.2,Summer,1,2535,1.88,2133.57
P0101,Sports,North,4980.94,10119.8,337,34.1,105,3.7,21.8,Regular,0,7509,1.21,6101.31
P0102,Electronics,South,1474.47,1364.26,89,64.4,160,3.4,32.2,Festival,0,8448,1.18,1641.92
P0103,Electronics,South,8387.71,5241.02,113,88.4,154,4.0,21.5,Summer,1,6170,0.37,8349.06
P0104,Electronics,West,3829.89,1929.28,35,99.9,242,3.1,36.3,Monsoon,0,8535,0.42,4194.52
P0105,Electronics,North,3873.07,706.06,233,64.7,181,2.7,2.3,Winter,1,1923,0.31,3264.62
P0106,Beauty,East,4845.26,6552.9,244,46.4,14,4.1,23.5,Regular,1,6152,1.85,5119.36
P0107,Home & Kitchen,South,4552.45,2324.32,382,30.3,180,3.5,22.5,Regular,0,6222,0.99,3625.9
P0108,Home & Kitchen,West,9949.61,6245.03,367,33.1,292,4.1,26.4,Regular,0,6372,1.1,8149.36
